W-Dates,WorldDailyCases
2021/01/359,279.6738
2021/01/360,280.2457
2021/01/361,281.564
2021/01/362,282.8718
2021/01/363,284.6165
2021/01/364,286.5555
2021/01/365,288.2521
2021/01/366,289.3575
2021/01/367,290.2302
2021/01/368,292.7615
2021/01/369,295.3111
2021/01/370,297.8667
2021/01/371,300.4878
2021/01/372,303.4202
2021/01/373,305.5365
2021/01/374,307.5406
2021/01/375,310.7269
2021/01/376,313.6007
2021/01/377,317.3106
2021/01/378,320.1914
2021/01/379,323.7191
2021/01/380,326.2687
2021/01/381,328.3235
2021/01/382,331.0704
2021/01/383,334.7494
2021/01/384,338.9813
