Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day
6/4/2021,2314340,40.80%
6/3/2021,2238336,39.10%
6/2/2021,2348517,40.80%
6/1/2021,2263536,40.90%
5/31/2021,1391302,53.40%
5/30/2021,1066132,42.10%
5/29/2021,1371467,43.20%
5/28/2021,2236646,38.80%
5/27/2021,2356638,41.00%
5/26/2021,2280311,40.00%
5/25/2021,2275628,41.90%
5/24/2021,2123129,38.30%
5/23/2021,1270286,49.90%
5/22/2021,1647055,54.70%
5/21/2021,2336140,43.10%
5/20/2021,2273912,40.00%
5/19/2021,2261916,38.40%
5/18/2021,2154370,36.80%
5/17/2021,2026574,36.30%
5/16/2021,1201918,45.80%
5/15/2021,1637242,48.10%
5/14/2021,2270937,39.60%
5/13/2021,2167164,36.60%
5/12/2021,2186470,37.10%
5/11/2021,2152549,37.30%
5/10/2021,1993889,36.60%
5/9/2021,1108734,53.50%
5/8/2021,1444674,44.90%
5/7/2021,2241860,39.80%
5/6/2021,2204111,37.40%
5/5/2021,2078394,35.40%
5/4/2021,2124252,36.50%
5/3/2021,1974754,35.00%
5/2/2021,1153471,49.50%
5/1/2021,1515211,46.90%
4/30/2021,2163175,37.70%
4/29/2021,2032405,34.50%
4/28/2021,2139820,36.80%
4/27/2021,2045718,35.50%
4/26/2021,1959131,35.20%
4/25/2021,985027,40.70%
4/24/2021,1520057,46.50%
4/23/2021,2125087,42.10%
4/22/2021,2044069,37.40%
4/21/2021,1969710,36.20%
4/20/2021,2086630,38.40%
4/19/2021,1914960,38.70%
4/18/2021,1082503,43.70%
4/17/2021,1425036,43.40%
4/16/2021,2082447,36.40%
4/15/2021,1910326,32.40%
4/14/2021,2021936,33.80%
4/13/2021,2016030,34.00%
4/12/2021,1849254,33.30%
4/11/2021,900666,36.40%
4/10/2021,1392745,42.40%
4/9/2021,2030410,35.50%
4/8/2021,2017306,34.60%
4/7/2021,1989179,33.90%
4/6/2021,1946071,33.80%
4/5/2021,1822134,32.80%
4/4/2021,951260,40.60%
4/3/2021,1319964,46.60%
4/2/2021,1760768,37.00%
4/1/2021,1845249,31.20%
3/31/2021,1812072,30.80%
3/30/2021,1885343,32.70%
3/29/2021,1745540,31.40%
3/28/2021,807247,35.70%
3/27/2021,1374266,42.30%
3/26/2021,1941782,34.70%
3/25/2021,1929515,33.30%
3/24/2021,1831662,32.00%
3/23/2021,1883301,33.10%
3/22/2021,1805084,33.30%
3/21/2021,1013386,41.90%
3/20/2021,1307403,43.20%
3/19/2021,1910080,34.70%
3/18/2021,1774375,31.90%
3/17/2021,1869879,32.80%
3/16/2021,1801682,32.00%
3/15/2021,1733288,32.10%
3/14/2021,923968,37.90%
3/13/2021,1257372,39.40%
3/12/2021,1917972,34.00%
3/11/2021,1885584,32.40%
3/10/2021,1852702,32.00%
3/9/2021,1837670,31.90%
3/8/2021,1722930,31.00%
3/7/2021,894177,42.30%
3/6/2021,1167887,37.50%
3/5/2021,1829185,32.20%
3/4/2021,1812200,31.40%
3/3/2021,1850000,32.50%
3/2/2021,1752983,30.60%
3/1/2021,1699607,39.40%
2/28/2021,811043,36.10%
2/27/2021,1074256,37.70%
2/26/2021,1826171,33.10%
2/25/2021,1801708,31.70%
2/24/2021,1809852,32.20%
2/23/2021,1733604,31.10%
2/22/2021,1585133,29.30%
2/21/2021,837051,36.80%
2/20/2021,1111970,38.00%
2/19/2021,1568728,30.30%
2/18/2021,1384407,25.80%
2/17/2021,1736509,32.40%
2/16/2021,1630739,31.70%
2/15/2021,1220357,38.10%
2/14/2021,858877,36.80%
2/13/2021,1093261,39.30%
2/12/2021,1709253,30.80%
2/11/2021,1717804,30.30%
2/10/2021,1753405,31.50%
2/9/2021,1669590,29.80%
2/8/2021,1642828,30.50%
2/7/2021,653257,29.00%
2/6/2021,1149757,38.60%
2/5/2021,1744130,31.60%
2/4/2021,1789214,31.60%
2/3/2021,1705655,30.00%
2/2/2021,1007502,18.00%
2/1/2021,584184,10.90%
1/31/2021,723473,32.30%
1/30/2021,943426,32.80%
1/29/2021,1514326,28.00%
1/28/2021,1650014,29.20%
1/27/2021,1663376,29.50%
1/26/2021,1553918,27.80%
1/25/2021,1595694,30.40%
1/24/2021,741960,31.80%
1/23/2021,998665,38.30%
1/22/2021,1675175,31.40%
1/21/2021,1656100,30.40%
1/20/2021,1578038,29.10%
1/19/2021,1639243,30.80%
1/18/2021,1279119,40.10%
1/17/2021,798564,35.00%
1/16/2021,992599,38.30%
1/15/2021,1630098,30.50%
1/14/2021,1650630,29.90%
1/13/2021,1644812,29.80%
1/12/2021,1643725,30.30%
1/11/2021,1571330,30.10%
1/10/2021,763690,33.30%
1/9/2021,991218,33.00%
1/8/2021,1622259,29.70%
1/7/2021,1614248,29.50%
1/6/2021,1616889,29.70%
1/5/2021,1600910,29.60%
1/4/2021,1561237,29.80%
1/3/2021,653915,28.70%
1/2/2021,989612,35.20%
1/1/2021,614497,26.60%
12/31/2020,1277146,32.00%
12/30/2020,1585476,36.60%
12/29/2020,1558295,36.00%
12/28/2020,1513195,34.90%
12/27/2020,761251,30.20%
12/26/2020,880184,28.20%
12/25/2020,485839,27.90%
12/24/2020,1314656,36.00%
12/23/2020,1775738,37.40%
12/22/2020,1764202,37.20%
12/21/2020,1719279,36.20%
12/20/2020,822001,30.80%
12/19/2020,1112852,35.00%
12/18/2020,1738727,30.70%
12/17/2020,1081431,18.80%
12/16/2020,1571978,26.50%
12/15/2020,1786741,31.40%
12/14/2020,1587068,27.70%
12/13/2020,911519,32.40%
12/12/2020,1091372,31.60%
12/11/2020,1789568,30.20%
12/10/2020,1764682,29.00%
12/9/2020,1705159,28.70%
12/8/2020,1544078,26.00%
12/7/2020,1659836,29.50%
12/6/2020,879278,32.90%
12/5/2020,1001236,28.40%
12/4/2020,1704749,28.60%
12/3/2020,1739370,28.70%
12/2/2020,1703245,28.50%
12/1/2020,1709780,29.30%
11/30/2020,1462166,27.70%
11/29/2020,827800,40.70%
11/28/2020,1034026,37.10%
11/27/2020,1265519,36.30%
11/26/2020,653123,30.80%
11/25/2020,1691393,32.00%
11/24/2020,1739107,29.80%
11/23/2020,1649748,28.80%
11/22/2020,818055,36.30%
11/21/2020,1157976,36.30%
11/20/2020,1803896,31.10%
11/19/2020,1761064,29.30%
11/18/2020,1791183,30.20%
11/17/2020,1792431,30.40%
11/16/2020,1745282,31.10%
11/15/2020,821555,33.70%
11/14/2020,1215491,37.60%
11/13/2020,1820025,31.00%
11/12/2020,1780212,30.00%
11/11/2020,1617862,33.70%
11/10/2020,1840750,31.60%
